Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,SNM,Russian Federation,,No,,,$0.0791,https://sonm.io/,Ethereum,,$0.03,-62.06%,United States,"$26,000,000",,sonm,https://icowatchlist.com/ico/sonm
,SNT,Unknown,,No,,,$0.0366,https://status.im/,Ethereum,,$0.02,-36.23%,United States,"$102,000,000",,status,https://icowatchlist.com/ico/status
,21MCoin,Unknown,,No,,,$0.0000,https://www.21million.co.uk/,Ethereum,,,,United States,,,21-million,https://icowatchlist.com/ico/21-million
,BETH,Unknown,,No,,,$0.0000,https://beth.jp/,Not Available,,,,United States,,,beth,https://icowatchlist.com/ico/beth
,OGC,Unknown,,No,,,$0.0000,https://onegram.org/,Not Available,,,,United States,,,onegram,https://icowatchlist.com/ico/onegram
,CVC,United States,,No,,,$0.1000,https://www.civic.com/,Ethereum,,$0.08,-20.83%,United States,"$33,000,000",,civic,https://icowatchlist.com/ico/civic
,HYBRID,Unknown,,No,,,$0.0000,https://coinstorm.net/en,Not Available,,,,United States,,,coinstorm,https://icowatchlist.com/ico/coinstorm
,PBT,Unknown,,No,,,"$7,912.0000",http://primalbase.com/,Ethereum,,"$10,074.35",27.33%,United States,"$7,910,000",,primalbase,https://icowatchlist.com/ico/primalbase
,ADT,United States,,No,https://github.com/adchain,,$0.0154,https://adtoken.com/,Ethereum,,$0.01,-52.37%,United States,"$7,700,000",,adtoken,https://icowatchlist.com/ico/adtoken
,MYB,Unknown,,No,,,$2.0000,https://mybit.io/,Ethereum,,$0.01,-99.66%,United States,"$2,700,000",,mybit,https://icowatchlist.com/ico/mybit
,BQX,Unknown,,No,,,$0.0754,https://www.bitquence.com/,Ethereum,,$0.16,,United States,,,bitquence,https://icowatchlist.com/ico/bitquence
,SAN,Switzerland,,No,,,$0.2267,http://www.santiment.net/,Ethereum,,$0.49,114.38%,United States,"$10,200,000",,santiment,https://icowatchlist.com/ico/santiment
,CFI,Sweden,,No,,,$0.1177,https://cofound.it/en/,Ethereum,,$0.01,-87.54%,United States,"$14,800,000",,cofoundit,https://icowatchlist.com/ico/cofoundit
,MTL,United States,,No,,,$0.1800,https://www.metalpay.com/,Ethereum,,$0.37,103.89%,United States,"$9,000,000",,metal,https://icowatchlist.com/ico/metal
,IXT,United Kingdom,,No,,,$0.0703,http://www.insurex.co/,Ethereum,,$0.02,-78.35%,United States,"$6,950,000",,insure-x,https://icowatchlist.com/ico/insure-x
,XTZ,Switzerland,,No,https://github.com/tezos/tezos,,$0.4000,https://www.tezos.com/,Blockchain,,$0.73,81.80%,United States,"$232,000,000",,tezos,https://icowatchlist.com/ico/tezos
,PPT,United Kingdom,,No,,,$0.2522,https://www.populous.world/,Ethereum,,$1.50,495.79%,United States,"$9,000,000",,populous,https://icowatchlist.com/ico/populous
,PAY,Singapore,,No,,,$0.8300,https://www.tenx.tech,Ethereum,,$0.29,-65.64%,United States,"$80,000,000",,tenx,https://icowatchlist.com/ico/tenx
,DENT,China,,No,,,$0.0005,https://www.dentcoin.com/,Ethereum,,$0.00,77.26%,United States,"$4,200,000",,dent,https://icowatchlist.com/ico/dent
,DNT,Slovakia,,No,https://github.com/district0x,,$0.0157,https://district0x.io/,Ethereum,,$0.02,-0.64%,United States,"$9,410,000",,district0x,https://icowatchlist.com/ico/district0x
,STX,Gibraltar,,No,,,$1.8600,https://www.stox.com/en/,Ethereum,,$0.02,-99.10%,United States,"$27,480,000",,stox,https://icowatchlist.com/ico/stox
,CRS,Russian Federation,,No,,,$1.0000,https://startaico.com/,Waves,,$0.81,-18.91%,United States,"$5,060,000",,starta,https://icowatchlist.com/ico/starta
,CABS,Taiwan,,No,,,"$1,000.0000",https://cryptoabs.com/,Ethereum,,,,United States,,,cryptoabs,https://icowatchlist.com/ico/cryptoabs
,SUR,Unknown,,No,,,$20.5000,http://suretly.com/,Not Available,,$0.64,-96.88%,United States,"$2,630,000",,suretly,https://icowatchlist.com/ico/suretly
,HVN,Unknown,,No,,,$0.0220,https://www.hive-project.net/,Not Available,,$0.00,-84.56%,United States,"$8,530,000",,hive,https://icowatchlist.com/ico/hive
,XCJ,United States,,No,,,$0.2900,https://www.coinjob.net/,Ethereum,,,,United States,"$53,000",,coinjob,https://icowatchlist.com/ico/coinjob
,CDT,Israel,,No,,,$0.0270,https://www.coindash.io/,Ethereum,,$0.01,-64.34%,United States,"$7,500,000",,coindash,https://icowatchlist.com/ico/coindash
,MANA,Argentina,,No,https://github.com/decentraland,,$0.0250,https://decentraland.org/,Ethereum,,$0.07,190.75%,United States,"$26,290,000",,decentraland,https://icowatchlist.com/ico/decentraland
,ZRX,United States,,No,https://github.com/0xProject,,$0.0480,https://www.0xproject.com/,Ethereum,,$0.30,521.56%,United States,"$24,000,000",,0x,https://icowatchlist.com/ico/0x
,RVT,Unknown,,No,,,$0.2000,https://rivetzintl.com/,Not Available,,$0.05,-73.81%,United States,"$14,600,000",,rivet,https://icowatchlist.com/ico/rivet
,ODN,United Kingdom,,No,,,$0.2500,https://obsidianplatform.com/,Stratis,,$0.00,,United States,,,obsidian,https://icowatchlist.com/ico/obsidian
,COR,Unknown,,No,,,$1.0000,https://www.corion.io/,Ethereum Classic,,$0.05,-94.62%,United States,"$2,100,000",,corion,https://icowatchlist.com/ico/corion
,MPRM,Switzerland,,No,,,$0.1000,http://imperium.network,Ethereum,,$0.00,,United States,,,imperium,https://icowatchlist.com/ico/imperium
,XAI,Unknown,,No,,,$0.0000,https://www.aicoin.io/,Ethereum,,$0.05,,United States,,,aicoin,https://icowatchlist.com/ico/aicoin
