Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers
,ARK,United States,,No,https://github.com/arkecosystem,,$0.0100,https://ark.io/,Blockchain,,$0.67,"6,615.76%",United States,"$998,000",,186,14427,1456,ark,1369,https://icowatchlist.com/ico/ark,406
,VSLICE,Unknown,,No,,,$0.0000,https://www.vdice.io/,Ethereum,,,,United States,,,0,0,0,vdiceio,0,https://icowatchlist.com/ico/vdiceio,0
,KMD,Unknown,,No,,,$0.0220,https://komodoplatform.com/,Blockchain,,$1.11,"4,925.24%",United States,"$1,980,000",,0,0,0,komodo,0,https://icowatchlist.com/ico/komodo,0
,Golos,Russian Federation,,No,,,$0.0100,https://golos.io/about,Not Available,,,,United States,"$462,000",,0,0,0,golos,0,https://icowatchlist.com/ico/golos,0
,CREA,Spain,,No,https://github.com/creativechain,,$0.0246,https://creativechain.org/,Blockchain,,$0.01,-53.01%,United States,"$300,000",,180,48973,27579,creativecoin,69,https://icowatchlist.com/ico/creativecoin,144
,WINGS,Russian Federation,,No,,,$0.0260,https://wings.ai/,Rootstock,,$0.05,76.15%,United States,"$2,000,000",,0,0,0,wings,0,https://icowatchlist.com/ico/wings,0
,TKS,United States,,No,,,$0.1622,http://cannabisrevolution.us/,Waves,,$0.31,90.44%,United States,"$81,100",,0,0,0,tokes,0,https://icowatchlist.com/ico/tokes,0
,TIME,Australia,,No,https://github.com/ChronoBank,,$30.0000,http://chronobank.io/,Ethereum,,$1.79,-94.03%,United States,"$5,400,000",,257,10908,2232,chronobank,83,https://icowatchlist.com/ico/chronobank,300
,QTUM,China,,No,https://github.com/qtumproject/,,$0.1500,https://qtum.org/,Blockchain,,$2.58,"1,619.66%",United States,"$15,000,000",,780,134552,3673,qtum,1475,https://icowatchlist.com/ico/qtum,694
,EDG,Lithuania,,No,https://github.com/EdgelessCasino,,$0.0220,https://edgeless.io/,Ethereum,,$0.12,467.73%,United States,"$2,650,000",,0,0,0,edgeless,0,https://icowatchlist.com/ico/edgeless,0
,RLC,France,,No,,,$0.2500,http://iex.ec/,Ethereum,,$0.43,73.20%,United States,"$12,160,000",,0,0,0,iexec,0,https://icowatchlist.com/ico/iexec,0
,ETT,Russian Federation,,No,,,$0.0632,https://encryptotel.com/,Waves,,$0.01,-83.04%,United States,"$4,430,000",,0,0,0,encryptotel,0,https://icowatchlist.com/ico/encryptotel,0
,GNO,United States,,No,https://github.com/ConsenSys/gnosis.js,,$31.2800,https://gnosis.pm/,Ethereum,,$15.12,-51.66%,United States,"$12,500,000",,0,0,0,gnosis,0,https://icowatchlist.com/ico/gnosis,0
,MGO,Serbia,,No,,,$0.5300,https://mobilego.io/,Ethereum,,$0.11,-78.62%,United States,"$53,070,000",,0,0,0,mobilego,0,https://icowatchlist.com/ico/mobilego,0
,HMQ,Luxembourg,,No,https://github.com/humaniq,,$0.0035,https://humaniq.co/,Ethereum,,$0.01,206.00%,United States,"$5,160,000",,167,13144,13203,humaniq,120,https://icowatchlist.com/ico/humaniq,344
,LUN,United States,,No,https://github.com/lunyr,,$1.6100,https://lunyr.com/,Ethereum,,$2.75,70.81%,United States,"$3,400,000",,27,28410,2513,lunyr,163,https://icowatchlist.com/ico/lunyr,72
,TAAS,Singapore,,No,,,$1.0000,https://taas.fund/,Ethereum,,$0.30,-70.19%,United States,"$7,570,000",,0,0,0,taas,0,https://icowatchlist.com/ico/taas,0
,BPL,Unknown,,No,,,$0.2200,https://blockpool.io/,Blockchain,,$0.01,,United States,,,0,0,0,blockpool,0,https://icowatchlist.com/ico/blockpool,0
,TKN,Switzerland,,No,,,$0.5400,http://tokencard.io/,Ethereum,,$0.56,2.78%,United States,"$12,700,000",,0,0,0,tokencard,0,https://icowatchlist.com/ico/tokencard,0
,ECOB,Unknown,,No,,,$0.0100,http://www.ecobit.io/,Not Available,,$0.00,-73.21%,United States,"$4,500,000",,0,0,0,ecobit,0,https://icowatchlist.com/ico/ecobit,0
