Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,OMG,Singapore,,No,,$0.2742,Ethereum,,$1.77,544.43%,United States,"$25,000,000",,omisego,https://icowatchlist.com/ico/omisego
,BNT,Israel,,No,,$3.8600,Ethereum,,$0.63,-83.75%,United States,"$153,000,000",,bancor,https://icowatchlist.com/ico/bancor
,FYN,Singapore,,No,,$0.1535,Ethereum,,$0.12,-18.70%,United States,"$1,150,000",,fundyourselfnow,https://icowatchlist.com/ico/fundyourselfnow
,MNX,Ukraine,,No,,$12.4500,Not Available,,$0.21,-98.34%,United States,"$745,940",,minexcoin,https://icowatchlist.com/ico/minexcoin
,CMP,Unknown,,No,,$12.0000,Blockchain,,$5.64,,United States,,,compcoin,https://icowatchlist.com/ico/compcoin
,SNM,Russian Federation,,No,,$0.0791,Ethereum,,$0.03,-62.06%,United States,"$26,000,000",,sonm,https://icowatchlist.com/ico/sonm
,SNT,Unknown,,No,,$0.0366,Ethereum,,$0.02,-36.23%,United States,"$102,000,000",,status,https://icowatchlist.com/ico/status
,21MCoin,Unknown,,No,,$0.0000,Ethereum,,,,United States,,,21-million,https://icowatchlist.com/ico/21-million
,BETH,Unknown,,No,,$0.0000,Not Available,,,,United States,,,beth,https://icowatchlist.com/ico/beth
,OGC,Unknown,,No,,$0.0000,Not Available,,,,United States,,,onegram,https://icowatchlist.com/ico/onegram
,CVC,United States,,No,,$0.1000,Ethereum,,$0.08,-20.83%,United States,"$33,000,000",,civic,https://icowatchlist.com/ico/civic
,HYBRID,Unknown,,No,,$0.0000,Not Available,,,,United States,,,coinstorm,https://icowatchlist.com/ico/coinstorm
,PBT,Unknown,,No,,"$7,912.0000",Ethereum,,"$10,074.35",27.33%,United States,"$7,910,000",,primalbase,https://icowatchlist.com/ico/primalbase
,ADT,United States,,No,,$0.0154,Ethereum,,$0.01,-52.37%,United States,"$7,700,000",,adtoken,https://icowatchlist.com/ico/adtoken
,MYB,Unknown,,No,,$2.0000,Ethereum,,$0.01,-99.66%,United States,"$2,700,000",,mybit,https://icowatchlist.com/ico/mybit
,BQX,Unknown,,No,,$0.0754,Ethereum,,$0.16,,United States,,,bitquence,https://icowatchlist.com/ico/bitquence
,SAN,Switzerland,,No,,$0.2267,Ethereum,,$0.49,114.38%,United States,"$10,200,000",,santiment,https://icowatchlist.com/ico/santiment
,CFI,Sweden,,No,,$0.1177,Ethereum,,$0.01,-87.54%,United States,"$14,800,000",,cofoundit,https://icowatchlist.com/ico/cofoundit
,MTL,United States,,No,,$0.1800,Ethereum,,$0.37,103.89%,United States,"$9,000,000",,metal,https://icowatchlist.com/ico/metal
,IXT,United Kingdom,,No,,$0.0703,Ethereum,,$0.02,-78.35%,United States,"$6,950,000",,insure-x,https://icowatchlist.com/ico/insure-x
,XTZ,Switzerland,,No,,$0.4000,Blockchain,,$0.73,81.80%,United States,"$232,000,000",,tezos,https://icowatchlist.com/ico/tezos
