Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers,description,end_time,image,price_usd,start_time,timezone,website_link
,GIL,United States,,No,https://github.com/skiral/gilgamesh-token-contract,,$1.0000,https://www.gilgameshplatform.com,Ethereum,,,,United States,,,1,75,7,gilgamesh,19,https://icowatchlist.com/ico/gilgamesh,6,KnowledgeSharing social network platform powered by Ethereum Blockchain,2018-03-26 16:00:00,https://icowatchlist.com/logos/gilgamesh.png,NA,2018-01-16 16:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/gilgamesh
,BOOL,United States,,No,,,$0.1000,https://booleancoin.com/,Ethereum,,,,United States,,,0,0,0,booleancoin,0,https://icowatchlist.com/ico/booleancoin,0,Booleancoin Powers Boolean A News Accuracy Platform Aiming To Combat Fake News In The Media,2018-03-27 00:00:00,https://icowatchlist.com/logos/booleancoin.png,NA,2017-11-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/booleancoin
ETH,NAC,Singapore,,No,https://github.com/namicorp,Yes,$0.4000,https://nami.trade/,Ethereum,,,,United States,,"2,000,000,000",2,262,1190,namitrade,0,https://icowatchlist.com/ico/namitrade,1,A blockchain broker which will bring no spread no swap and no commission to traders worldwide,2018-03-28 23:59:00,https://icowatchlist.com/logos/namitrade.png,NA,2018-02-01 00:00:00,UTC+7,https://api.icowatchlist.com/public/v1/url/namitrade
"BTC, ETH, BCH",WCO,Brazil,,No,https://github.com/WincoCrypto,,$0.0700,https://winco.io,Ethereum,,,,United States,,"7,652,580,800",0,0,0,winco,0,https://icowatchlist.com/ico/winco,0,Solutions for the decentralization of startups financing the franchise market and the real estate market,2018-03-29 06:15:00,https://icowatchlist.com/logos/winco.png,NA,2018-02-19 06:14:00,UTC--3,https://api.icowatchlist.com/public/v1/url/winco
,JOY,United Kingdom,,Yes,https://github.com/JoyPlatform/,Yes,$0.2000,https://joytoken.io/,Ethereum,December 1st 2017 To February 26th 2018,,,United States,"$3,340,000","700,000,000",39,3336,3160,joy-token,6,https://icowatchlist.com/ico/joy-token,10,Joy Token is a new development platform specifically for the creation and marketing of online casino games,2018-03-29 17:00:00,https://icowatchlist.com/logos/joy-token.png,NA,2018-02-27 17:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/joy-token
,WIN,Cyprus,,No,,,$3.0000,https://www.wawllet.com/,Ethereum,,$0.03,,United States,,,0,0,0,wawllet,0,https://icowatchlist.com/ico/wawllet,0,Worlds first multiasset wallet and personal financial passport,2018-03-30 09:59:00,https://icowatchlist.com/logos/wawllet.png,0.06,2018-01-29 10:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/wawllet
"BTC, ETH, BCH, DASH",CDG,Thailand,,No,,Yes,$1.0000,https://www.cdgdragon.io/,Ethereum,,,,United States,,"1,274,000,000",0,0,0,oxalor,0,https://icowatchlist.com/ico/oxalor,0,Technology which covers the treatment process of raw domestic waste and green waste from agriculture,2018-03-30 12:00:00,https://icowatchlist.com/logos/oxalor.png,NA,2018-03-15 12:00:00,UTC+7,https://api.icowatchlist.com/public/v1/url/oxalor
,RQX,Belize,,No,https://github.com/requitix/rqxtoken,,$0.1500,https://www.requitix.io,Ethereum,,,,United States,,,1,3,0,requitix,0,https://icowatchlist.com/ico/requitix,1,Trusted Token and Confidence System,2018-03-31 00:00:01,https://icowatchlist.com/logos/requitix.png,NA,2018-02-20 00:00:01,UTC+0,https://api.icowatchlist.com/public/v1/url/requitix
,ESB,Taiwan,,No,https://github.com/ens-bid,,$0.0330,https://ens.bid,Ethereum,,,,United States,,,0,0,0,ensbid,0,https://icowatchlist.com/ico/ensbid,0,ENSBID focuses on offering the best identity storage and domain name service to the decentralized world of Ethereum,2018-03-31 01:00:00,https://icowatchlist.com/logos/ensbid.png,NA,2018-01-10 01:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ensbid
,WIKI,United States,,No,,,$0.0810,https://wikibits.io/,Ethereum,,,,United States,,,0,0,0,wikibits,0,https://icowatchlist.com/ico/wikibits,0,Be Part of the Next Generation Wiki,2018-03-31 05:00:00,https://icowatchlist.com/logos/wikibits.png,NA,2017-12-15 05:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/wikibits
,PITCH,United States,,No,,Yes,$0.0000,https://tokens.pitch.ventures/,Ethereum,February 8th 2018 To February 28th 2018,,,United States,,"161,800,000,000",0,0,0,pitch,0,https://icowatchlist.com/ico/pitch,0,Entrepreneurs and Startups can Pitch Investors Live on the Platform,2018-03-31 05:55:00,https://icowatchlist.com/logos/pitch.png,NA,2018-02-28 05:55:00,UTC+0,https://api.icowatchlist.com/public/v1/url/pitch
,THT,United States,,No,https://github.com/Thoughtnetwork,Yes,$0.1200,https://thought.live,Other,March 1st 2018 To March 13th 2018,,,United States,,"517,760,000",15,6618,856,thought,5,https://icowatchlist.com/ico/thought,17,Eliminate Traditional Applications with Data That Thinks,2018-03-31 09:00:00,https://icowatchlist.com/logos/thought.png,NA,2018-03-01 09:00:00,UTC--5,https://api.icowatchlist.com/public/v1/url/thought
,YUP,United Kingdom,,No,https://github.com/crowdholdingico/YupieSmartContract,,$0.1000,https://crowdholding.com,Ethereum,,,,United States,,,1,13,4,crowdholding,6,https://icowatchlist.com/ico/crowdholding,5,A Decentralized Open Innovation platform that connects entrepreneurs and supporters,2018-03-31 10:00:00,https://icowatchlist.com/logos/crowdholding.png,NA,2017-11-01 10:00:00,UTC+2,https://api.icowatchlist.com/public/v1/url/crowdholding
,RNTB,United Kingdom,,No,https://github.com/bitrent?tab=repositories,,$0.0300,https://bitrent.io,Blockchain,,$0.00,,United States,,,0,0,0,bitrent,0,https://icowatchlist.com/ico/bitrent,0,First decentralized Blockchain construction platform,2018-03-31 11:00:00,https://icowatchlist.com/logos/bitrent.png,0.00,2017-11-24 11:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bitrent
,BEEF,Russian Federation,,No,,,$1.0000,https://beefcoin.org/,Ethereum,,,,United States,,,0,0,0,beefcoin,0,https://icowatchlist.com/ico/beefcoin,0,Integrated production of organic beef from farm to table,2018-03-31 12:00:00,https://icowatchlist.com/logos/beefcoin.png,NA,2018-01-01 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/beefcoin
,,,,,,,,,,,,,,,,0,0,0,fortysevenbank,0,https://icowatchlist.com/ico/fortysevenbank,0,Forty Seven Bank is financial technology startup aimed at building a bridge between cryptocurrency world and the world of traditional monetary finance,2018-03-31 13:00:00,https://icowatchlist.com/logos/fortysevenbank.png,0.15,2017-11-16 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/fortysevenbank
,HION,Latvia,,No,https://github.com/handelion,,$1.8800,https://handelion.io/,Ethereum,,,,United States,,,0,0,0,handelion,0,https://icowatchlist.com/ico/handelion,0,Handelion is a revolutionary blockchain ecosystem for cofunded wholesale trade,2018-03-31 13:00:00,https://icowatchlist.com/logos/handelion.png,NA,2017-12-15 13:00:00,UTC+2,https://api.icowatchlist.com/public/v1/url/handelion
"BTC, ETH, LTC, BCH",RTB,Hong Kong,,No,https://github.com/AB-CHAIN-com,Yes,$0.3500,https://ab-chain.com/?utm_source=icowatchlistcom/,Ethereum,,$48.88,,United States,,"100,000,000",1,4,0,abchain,0,https://icowatchlist.com/ico/abchain,2,ABCHAIN ADVERTISING NETWORK  Blockchain and AI for enhanced campaigns,2018-03-31 21:00:00,https://icowatchlist.com/logos/abchain.png,48.88,2018-02-19 09:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/abchain
,GES,Hong Kong,,No,,,$3.0000,https://galaxy-esolutions.com/,Ethereum,,,,United States,"$14,000,000",,0,0,0,galaxyesolutions,0,https://icowatchlist.com/ico/galaxyesolutions,0,A global distribution and ecommerce marketplace for refurbished consumer electronics,2018-03-31 23:59:00,https://icowatchlist.com/logos/galaxyesolutions.png,NA,2018-02-28 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/galaxyesolutions
,Eroiy,Switzerland,,No,https://github.com/Eroiy,,$0.1200,https://www.eroiy.io/,Other,,,,United States,,,0,0,0,eroiy,0,https://icowatchlist.com/ico/eroiy,0,The anonymous and safe payment method of the adult industry through the infusion of Blockchain,2018-03-31 23:59:00,https://icowatchlist.com/logos/eroiy.png,NA,2018-01-30 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/eroiy
"ETH, BTC",SKCH,Russian Federation,,No,https://github.com/Skychainglobal/MVP,Yes,$1.0000,http://skychain.global/,Ethereum,,,,United States,,"36,000,000",1,10,1,skychain,3,https://icowatchlist.com/ico/skychain,4,Blockchain infrastructure aimed to host train and use artificial intelligence AI in healthcare,2018-03-31 23:59:00,https://icowatchlist.com/logos/skychain.png,NA,2018-02-26 00:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/skychain
,XCLR,United States,,No,https://github.com/clearcoin,,$0.0100,https://clearcoin.co/,Ethereum,,$0.00,,United States,,,119,12453,9690,clearcoin,11,https://icowatchlist.com/ico/clearcoin,24,ClearCoin is a technology company that powers the realtime buying and selling of media on decentralized applications and the broader digital environment,2018-03-31 23:59:59,https://icowatchlist.com/logos/clearcoin.png,0.00,2017-11-16 00:00:01,UTC--8,https://api.icowatchlist.com/public/v1/url/clearcoin
,FT,Estonia,,No,https://github.com/FabricToken,,$0.1125,https://fabrictoken.io,Ethereum,,$0.00,,United States,,,3,16,2,fabrictoken,4,https://icowatchlist.com/ico/fabrictoken,1,Draganddrop smart contracts,2018-04-01 10:00:00,https://icowatchlist.com/logos/fabrictoken.png,0.01,2018-02-15 10:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/fabrictoken
,TCT,El Salvador,,No,,Yes,$2.0000,https://thecoffeetoken.io/,Ethereum,,,,United States,,"900,000,000",0,0,0,the-coffee-token,0,https://icowatchlist.com/ico/the-coffee-token,0,First and only global decentralized ecosystem directly connecting coffee producers and consumers using the blockchain technology,2018-04-01 10:00:00,https://icowatchlist.com/logos/the-coffee-token.png,NA,2018-02-14 10:00:00,UTC--6,https://api.icowatchlist.com/public/v1/url/the-coffee-token
ETH,TrueCoin,United States,,No,,Yes,$0.0900,https://truereply.com/uto,Ethereum,,,,United States,,"500,000,000",0,0,0,true-reply,0,https://icowatchlist.com/ico/true-reply,0,True Reply is the future of voicebased datacollection across IoT devices and telephones,2018-04-01 13:30:00,https://icowatchlist.com/logos/true-reply.png,NA,2018-03-01 13:30:00,UTC--5,https://api.icowatchlist.com/public/v1/url/true-reply
,IPC,Germany,,No,https://github.com/PAYSURA/Dev,,$0.1800,https://paysura.com/,Ethereum,,$0.00,,United States,,,7,8,0,paysura,1,https://icowatchlist.com/ico/paysura,3,PAYSURA is providing the International PayReward Coin IPC in order to create a worldwide uniform reward system that applies the advantages of the Blockchain Technology,2018-04-02 12:59:59,https://icowatchlist.com/logos/paysura.png,0.00,2018-03-03 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/paysura
,NKR,Gibraltar,,No,,,$0.5000,http://nkor.io,Ethereum,,,,United States,,,0,0,0,nkor,0,https://icowatchlist.com/ico/nkor,0,Solving copyright issues forever,2018-04-02 23:59:59,https://icowatchlist.com/logos/nkor.png,NA,2018-03-03 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/nkor
ETH,,United Kingdom,,No,https://github.com/HashBux/hash,,$0.0000,https://hashbux.io/token-sale,Ethereum,,,,United States,,,1,4,0,hashbux,0,https://icowatchlist.com/ico/hashbux,0,Decentralized online Gaming EcoSystem for Gamers,2018-04-03 14:00:00,https://icowatchlist.com/logos/hashbux.png,NA,2018-03-26 15:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/hashbux
,BITTO,United Kingdom,,No,,,$1.0000,https://www.bitto.tech/,Ethereum,,,,United States,,,0,0,0,bittoexchange,0,https://icowatchlist.com/ico/bittoexchange,0,Bitcoin Exchange with 6 in 1 consisting of LendingStakingSignalReferralBorrowingTrading,2018-04-03 23:59:59,https://icowatchlist.com/logos/bittoexchange.png,NA,2018-01-16 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bittoexchange
,ELET,United States,,Yes,http://github.com/etherlegendsorg,Yes,$0.5000,https://www.etherlegends.io,Ethereum,,,,United States,,"50,000,000",0,0,0,ether-legends-elet,0,https://icowatchlist.com/ico/ether-legends-elet,0,Ethereum Based Collectible Trading Card Game driven by the gaming platform token elementeum ELET,2018-04-04 00:00:00,https://icowatchlist.com/logos/ether-legends-elet.png,NA,2018-02-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ether-legends-elet
,AMN,Estonia,,No,https://github.com/amontech,,$0.0600,https://amon.tech/,Ethereum,,,,United States,,,41,10282,6615,amon,9,https://icowatchlist.com/ico/amon,54,Enabling crypto spending in everyday life,2018-04-04 09:00:00,https://icowatchlist.com/logos/amon.png,NA,2018-03-04 09:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/amon
,VST,Belize,,No,https://github.com/cromlehg/Vestarin,Yes,$0.3300,https://www.vestarin.io,Ethereum,January 30th 2018 To February 28th 2018,,,United States,,"200,000,000",0,0,0,vestarin,0,https://icowatchlist.com/ico/vestarin,0,Cryptocurrency market place for goods and services,2018-04-04 12:00:00,https://icowatchlist.com/logos/vestarin.png,NA,2018-03-05 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/vestarin
,THRT,Malta,,No,https://github.com/thrivelabs,,$0.3100,https://ico.thrivelabs.io/,Other,,,,United States,,,0,0,0,thrive,0,https://icowatchlist.com/ico/thrive,0,Blockchainbased Decentralized Advertising Marketplace,2018-04-05 10:00:00,https://icowatchlist.com/logos/thrive.png,NA,2018-02-15 10:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/thrive
,,,,,,,,,,,,,,,,0,0,0,r3sec,0,https://icowatchlist.com/ico/r3sec,0,Moving target defense  ultimate security on blockchain,2018-04-05 12:00:00,https://icowatchlist.com/logos/r3sec.png,NA,2018-03-20 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/r3sec
,REPUX,Poland,,Yes,,Yes,$0.2000,https://repux.io/,Ethereum,November 17th 2017 To March 5th 2018,,,United States,"$4,700,000","500,000,000",0,0,0,repux,0,https://icowatchlist.com/ico/repux,0,RepuXs blockchainbacked platform enables Small and Medium Enterprises SMEs to securely sell their data,2018-04-05 17:00:00,https://icowatchlist.com/logos/repux.png,NA,2018-03-06 06:17:00,UTC+0,https://api.icowatchlist.com/public/v1/url/repux
"BTC, ETH, BCH, DASH",,Cayman Islands,,No,,Yes,$0.0000,http://www.bhpcash.io/bhpc/index.html,Ethereum,February 25th 2018 To March 6th 2018,,,United States,,,0,0,0,bank-of-hash-power,0,https://icowatchlist.com/ico/bank-of-hash-power,0,The blockchain financial system guaranteed by Hash Power enable easiest access to crypto portfolio and trade settlement for EVERYONE,2018-04-05 23:59:00,https://icowatchlist.com/logos/bank-of-hash-power.png,NA,2018-03-07 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bank-of-hash-power
,RTM,United Kingdom,,No,,,$1.0000,https://renteum.org,Ethereum,,,,United States,,,0,0,0,renteum,0,https://icowatchlist.com/ico/renteum,0,Renteum is going to be the first of its kind to tie its token to realestate in Scandinavia and England,2018-04-08 00:00:00,https://icowatchlist.com/logos/renteum.png,NA,2018-01-04 00:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/renteum
,BLS,United States,,No,https://github.com/ProjectBills/Bills,Yes,$3.0000,https://billsb.org/,Ethereum,,,,United States,,"3,000,000",1,2,0,bills,0,https://icowatchlist.com/ico/bills,0,Bills is a technology that allows placing advertisements to an outdoor billboard located in any part of the world within a couple of minutes,2018-04-08 00:00:00,https://icowatchlist.com/logos/bills.png,NA,2018-03-08 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bills
,SAT,France,,No,https://github.com/SandBlockIO,Yes,$0.2300,https://sandblock.io,Ethereum,February 21st 2018 To March 4th 2018,,,United States,,"55,000,000",0,0,0,sandblock,0,https://icowatchlist.com/ico/sandblock,0,Rewarding customers for their loyalty engagement and feedback using cryptocurrencies,2018-04-08 15:00:00,https://icowatchlist.com/logos/sandblock.png,NA,2018-03-21 14:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/sandblock
,VLB,Estonia,,Yes,,,$1.5400,http://vlb.io/,Ethereum,,,,United States,,"175,000,000",0,0,0,vlb,0,https://icowatchlist.com/ico/vlb,0,The number one blockchain fuel for the transport industry,2018-04-09 12:00:00,https://icowatchlist.com/logos/vlb.png,NA,2018-02-05 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/vlb
,SGN,Czech Republic,,No,,,$0.3300,https://signals.network/,Ethereum,,,,United States,,,0,0,0,signalsnetwork,0,https://icowatchlist.com/ico/signalsnetwork,0,Data science marketplace to help you discover create and monetize cryptocurrency trading,2018-04-09 14:00:00,https://icowatchlist.com/logos/signalsnetwork.png,NA,2018-03-12 14:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/signalsnetwork
,GZR,United States,,Yes,https://github.com/GizerInc,Yes,$1.0000,https://tokensale.gizer.io/?utm_source=icowatchlist&utm_campaign=featured_listing,Ethereum,November 30th 2017 To December 10th 2017,,,United States,,"100,000,000",3,98,4,gizer,2,https://icowatchlist.com/ico/gizer,1,The real global gaming network,2018-04-10 12:00:00,https://icowatchlist.com/logos/gizer.png,NA,2018-03-16 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/gizer
"ETH, USD",MDTK,Hong Kong,,No,,Yes,$0.7000,https://mdtokens.com/,Ethereum,,,,United States,,"500,000,000",0,0,0,md-tokens,0,https://icowatchlist.com/ico/md-tokens,0,Creating a universal digital payment engine to power a smart secure and efficient healthcare ecosystem accessible anywhere at anytime,2018-04-10 16:00:00,https://icowatchlist.com/logos/md-tokens.png,NA,2018-03-10 16:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/md-tokens
,,,,,,,,,,,,,,,,0,0,0,cubaaz,0,https://icowatchlist.com/ico/cubaaz,0,Travel for a Blockchain Era  Pay for goods and services whiles enjoying great discounts,2018-04-10 23:59:00,https://icowatchlist.com/logos/cubaaz.png,NA,2018-01-05 23:59:00,UTC+0,https://api.icowatchlist.com/public/v1/url/cubaaz
ETH,ONL,United Kingdom,,No,https://github.com/OnLivePlatform,,$1.4700,https://on.live/,Ethereum,January 22nd 2018 To February 22nd 2018,,,United States,,"111,000,000",5,232,1,onlive,6,https://icowatchlist.com/ico/onlive,9,An open and decentralized platform for video broadcast and remote consultations markets,2018-04-11 11:00:00,https://icowatchlist.com/logos/onlive.png,NA,2018-03-11 11:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/onlive
,RXL,Seychelles,,No,https://github.com/rxeal,,$1.1250,https://rxeal.com/,Ethereum,January 15th 2018 To February 5th 2018,,,United States,,,0,0,0,rxeal,0,https://icowatchlist.com/ico/rxeal,0,The latest way to profit from Real Estate,2018-04-11 12:00:00,https://icowatchlist.com/logos/rxeal.png,NA,2018-03-12 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/rxeal
,MLC,Russian Federation,,Yes,,Yes,$0.4000,https://flogmall.com,Ethereum,February 22nd 2018 To March 8th 2018,,,United States,"$23,212,700","250,000,000",0,0,0,flogmall,0,https://icowatchlist.com/ico/flogmall,0,An international ecommerce site created for users  from all over the world who sell and buy various products and services with tokens,2018-04-12 07:59:00,https://icowatchlist.com/logos/flogmall.png,NA,2018-03-22 07:59:00,UTC+3,https://api.icowatchlist.com/public/v1/url/flogmall
,MZX,Cayman Islands,,Yes,,Yes,$0.0000,https://www.mosaic.io/,Ethereum,February 5th 2018 To February 12th 2018,,,United States,,"1,000,000,000",0,0,0,mosaic,0,https://icowatchlist.com/ico/mosaic,0,Decentralized Market Intelligence Network for Publishers and Stakeholders,2018-04-12 20:56:00,https://icowatchlist.com/logos/mosaic.png,NA,2018-02-14 20:56:00,UTC+0,https://api.icowatchlist.com/public/v1/url/mosaic
,VIOLA,Singapore,,No,https://github.com/ViolaAI,,$0.2000,https://www.viola.ai/,Ethereum,,,,United States,,,4,194,0,violaai,2,https://icowatchlist.com/ico/violaai,9,ViolaAI is the Worlds First AIdriven Marketplace for Dating and Relationships with real business backing of 13 years,2018-04-13 04:00:00,https://icowatchlist.com/logos/violaai.png,NA,2018-03-14 04:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/violaai
ETH,iLT,Estonia,,No,,Yes,$0.0200,https://iolite.io/,Ethereum,March 20th 2018 To March 27th 2018,,,United States,,"1,000,000,000",0,0,0,iolite,0,https://icowatchlist.com/ico/iolite,0,iOlite allows anyone to write smart contract using any language natural or programming,2018-04-14 00:00:00,https://icowatchlist.com/logos/iolite.png,NA,2018-03-27 05:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/iolite
ETH,SPEND,Australia,,Yes,https://github.com/MoxyOne/,Yes,$0.9000,https://moxy.one/,Ethereum,February 8th 2018 To March 10th 2018,,,United States,,"50,000,000",10,305,156,moxyone,14,https://icowatchlist.com/ico/moxyone,12,Branded debit cards and secure payment infrastructure for all companies and ICOs that issue cryptocurrencies,2018-04-14 01:00:00,https://icowatchlist.com/logos/moxyone.png,NA,2018-03-14 01:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/moxyone
"USD, EUR, BTC, ETH",COTI,Gibraltar,,No,,,$0.2000,https://coti.io/token.html?utm_source=listing&utm_medium=icowatchlist,Other,May 21st 2018 To May 25th 2018,,,United States,"$15,000,000","2,000,000,000",0,0,0,coti,0,https://icowatchlist.com/ico/coti,0,COTI Currency of the Internet spearheading the mass adoption of digital currencies,2018-04-14 11:00:00,https://icowatchlist.com/logos/coti.png,NA,2018-03-31 11:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/coti
,,,,,,,,,,,,,,,,0,0,0,rentaway,0,https://icowatchlist.com/ico/rentaway,0,RentAway is an online global platform the unique rental marketplace that will facilitate rental transactions between private individuals peertopeer and businesses for a wide range of goods equipment and real estate,2018-04-15 00:00:00,https://icowatchlist.com/logos/rentaway.png,NA,2018-03-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/rentaway
"BTC, ETH",NCC,France,,No,,Yes,$0.1000,https://www.neurochaintech.io/,Other,,,,United States,,"395,000,000",0,0,0,neurochain,0,https://icowatchlist.com/ico/neurochain,0,Implementing AI at the heart of the Blockchain,2018-04-15 08:00:00,https://icowatchlist.com/logos/neurochain.png,NA,2018-03-19 08:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/neurochain
,NVB,Russian Federation,,No,,,$1.0000,http://nvb.digital,Ethereum,,,,United States,,,0,0,0,nativevideobox,0,https://icowatchlist.com/ico/nativevideobox,0,An independent video distribution platform with native eco approach to advertising based on machine learning,2018-04-15 11:59:59,https://icowatchlist.com/logos/nativevideobox.png,NA,2017-12-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/nativevideobox
,MDX,Estonia,,No,https://github.com/MidexDev,,$1.0000,https://midex.com/,Ethereum,,,,United States,,,0,0,0,midex,0,https://icowatchlist.com/ico/midex,0,Midex makes cryptocurrency use accessible to business traders and everyday users Midex is a financial ecosystem which encompasses the needs of each economic agent through a fully licensed and encrypted exchange,2018-04-15 23:59:59,https://icowatchlist.com/logos/midex.png,NA,2018-01-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/midex
"BTC, ETH",NODE,Latvia,,No,https://github.com/nodepower,Yes,$1.0000,https://nodepower.io/?utm_source=icowatchlist,Ethereum,,,,United States,,"10,000,000",0,0,0,node,0,https://icowatchlist.com/ico/node,0,Intelligent Technology for Wireless Energy For Private and Commercial Use,2018-04-16 00:00:00,https://icowatchlist.com/logos/node.png,NA,2018-02-15 00:00:00,UTC+2,https://api.icowatchlist.com/public/v1/url/node
,,,,,,,,,,,,,,,,0,0,0,bitether,0,https://icowatchlist.com/ico/bitether,0,Dapp for gaming tournament and lending platform,2018-04-16 00:00:00,https://icowatchlist.com/logos/bitether.png,NA,2018-03-16 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bitether
,,,,,,,,,,,,,,,,0,0,0,blockpix,0,https://icowatchlist.com/ico/blockpix,0,Ecommerce Solution for the Creative and Entertainment Industry,2018-04-18 12:00:00,https://icowatchlist.com/logos/blockpix.png,NA,2018-03-18 12:00:00,UTC+2,https://api.icowatchlist.com/public/v1/url/blockpix
"BTC, ETH, LTC, DASH",HMT,United Kingdom,,No,,Yes,$2.0000,https://hmstr.io/en,Ethereum,,,,United States,,"10,000,000",0,0,0,hamster-marketplace,0,https://icowatchlist.com/ico/hamster-marketplace,0,Decentralized trading platform for sale of innovative indiegadgets run by manufacturers,2018-04-19 00:00:00,https://icowatchlist.com/logos/hamster-marketplace.png,NA,2018-02-19 00:00:00,UTC+3,https://api.icowatchlist.com/public/v1/url/hamster-marketplace
"BTC, ETH",MTP,Japan,,No,,Yes,$0.1000,https://moneytap.io/,Other,,,,United States,,"500,000,000",0,0,0,moneytap-token,0,https://icowatchlist.com/ico/moneytap-token,0,App that allows bank customers to settle transactions instantly,2018-04-19 08:30:00,https://icowatchlist.com/logos/moneytap-token.png,NA,2018-03-23 08:30:00,UTC+0,https://api.icowatchlist.com/public/v1/url/moneytap-token
"BTC, ETH",GIFT,United Kingdom,,Yes,,,$0.0900,https://www.giftcoin.org/,Ethereum,January 1st 2018 To March 19th 2018,,,United States,"$12,870,000","1,000,000,000",0,0,0,giftcoin,0,https://icowatchlist.com/ico/giftcoin,0,Giftcoin is a groundbreaking new system designed to revolutionise charitable giving,2018-04-19 10:00:00,https://icowatchlist.com/logos/giftcoin.png,NA,2018-03-20 09:30:00,UTC--5,https://api.icowatchlist.com/public/v1/url/giftcoin
,BNE,Virgin Islands (British),,No,https://github.com/benebit/,,$0.2000,https://benebit.io,Not Available,,,,United States,,,0,0,0,benebit,0,https://icowatchlist.com/ico/benebit,0,Benebit is a global decentralized ecosystem that enables interaction without borders between brands companies and consumers and is built on Blockchain technology,2018-04-19 13:00:00,https://icowatchlist.com/logos/benebit.png,NA,2018-01-22 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/benebit
ETH,XYO,United States,,No,https://github.com/xyoraclenetwork,Yes,$0.0060,https://xyo.network/,Ethereum,,,,United States,,"48,000,000",272,4609,31,xyo-network,123,https://icowatchlist.com/ico/xyo-network,215,With over 1 million locationverifying beacons already in the world XYO is blockchain39s first cryptolocation oracle network,2018-04-20 00:00:00,https://icowatchlist.com/logos/xyo-network.png,NA,2018-03-20 00:00:00,UTC--8,https://api.icowatchlist.com/public/v1/url/xyo-network
"BTC, ETH, LTC, USD, EUR, BCH",PON,United States,,Yes,https://github.com/ponder-matchmaking,Yes,$0.2000,https://tokensale.ponderapp.co/,Ethereum,,,,United States,,"480,000,000",3,19,0,ponder,0,https://icowatchlist.com/ico/ponder,4,A decentralized matchmaking platform revolutionizing how people meet,2018-04-20 06:00:00,https://icowatchlist.com/logos/ponder.png,NA,2018-02-14 14:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ponder
"BTC, ETH, LTC, USD, EUR",,Singapore,,No,https://github.com/BITCARtoken,Yes,$0.0000,https://bitcar.io,Ethereum,,,,United States,,,0,0,0,bitcar,0,https://icowatchlist.com/ico/bitcar,0,PeertoPeer exotic car trading platform using Blockchain Technology for precision speed and lowered transaction cost,2018-04-20 07:00:00,https://icowatchlist.com/logos/bitcar.png,NA,2018-01-31 07:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bitcar
