Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers,description,end_time,image,price_usd,start_time,timezone,website_link
,TIME,Australia,,No,https://github.com/ChronoBank,,$30.0000,http://chronobank.io/,Ethereum,,$1.79,-94.03%,United States,"$5,400,000",,257,10908,2232,chronobank,83,https://icowatchlist.com/ico/chronobank,300,Time based currencies on multiple blockchains,2017-02-15 13:00:00,https://icowatchlist.com/logos/chronobank.png,2.38,2016-12-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/chronobank
,QTUM,China,,No,https://github.com/qtumproject/,,$0.1500,https://qtum.org/,Blockchain,,$2.58,"1,619.66%",United States,"$15,000,000",,780,134552,3673,qtum,1475,https://icowatchlist.com/ico/qtum,694,A smart contract platform for PoS transactions,2017-03-17 00:00:00,https://icowatchlist.com/logos/qtum.png,2.36,2017-03-12 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/qtum
,EDG,Lithuania,,No,https://github.com/EdgelessCasino,,$0.0220,https://edgeless.io/,Ethereum,,$0.12,467.73%,United States,"$2,650,000",,0,0,0,edgeless,0,https://icowatchlist.com/ico/edgeless,0,Edgeless solves Casino transparency problems through the use of the Ethereum blockchain,2017-03-21 00:00:00,https://icowatchlist.com/logos/edgeless.png,0.09,2017-02-28 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/edgeless
,RLC,France,,No,,,$0.2500,http://iex.ec/,Ethereum,,$0.43,73.20%,United States,"$12,160,000",,0,0,0,iexec,0,https://icowatchlist.com/ico/iexec,0,IeXec is a fully decentralized cloud based computing system based on Blockchain,2017-04-19 23:59:59,https://icowatchlist.com/logos/iexec.png,0.63,2017-04-19 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/iexec
,ETT,Russian Federation,,No,,,$0.0632,https://encryptotel.com/,Waves,,$0.01,-83.04%,United States,"$4,430,000",,0,0,0,encryptotel,0,https://icowatchlist.com/ico/encryptotel,0,Encrypto Telecom offers solutions for secure communication over the blockchain,2017-04-24 00:00:00,https://icowatchlist.com/logos/encryptotel.png,0.01,2017-04-24 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/encryptotel
,GNO,United States,,No,https://github.com/ConsenSys/gnosis.js,,$31.2800,https://gnosis.pm/,Ethereum,,$15.12,-51.66%,United States,"$12,500,000",,0,0,0,gnosis,0,https://icowatchlist.com/ico/gnosis,0,it is an Ethereumbased prediction market that works using crowdsourcing methods,2017-04-24 11:59:59,https://icowatchlist.com/logos/gnosis.png,16.15,2017-04-24 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/gnosis
,MGO,Serbia,,No,,,$0.5300,https://mobilego.io/,Ethereum,,$0.11,-78.62%,United States,"$53,070,000",,0,0,0,mobilego,0,https://icowatchlist.com/ico/mobilego,0,MobileGoGameCredit is a proprietary payment gateway that allows gamers to use the tokens to buy ingame content,2017-04-25 00:00:00,https://icowatchlist.com/logos/mobilego.png,0.07,2017-04-25 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/mobilego
,HMQ,Luxembourg,,No,https://github.com/humaniq,,$0.0035,https://humaniq.co/,Ethereum,,$0.01,206.00%,United States,"$5,160,000",,167,13144,13203,humaniq,120,https://icowatchlist.com/ico/humaniq,344,Decentralized Banking based on blockchain,2017-04-27 00:00:00,https://icowatchlist.com/logos/humaniq.png,0.01,2017-04-06 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/humaniq
,LUN,United States,,No,https://github.com/lunyr,,$1.6100,https://lunyr.com/,Ethereum,,$2.75,70.81%,United States,"$3,400,000",,27,28410,2513,lunyr,163,https://icowatchlist.com/ico/lunyr,72,The future of knowledge sharing that lets you earn rewards for what you know,2017-04-27 12:00:00,https://icowatchlist.com/logos/lunyr.png,2.07,2017-03-29 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/lunyr
,TAAS,Singapore,,No,,,$1.0000,https://taas.fund/,Ethereum,,$0.30,-70.19%,United States,"$7,570,000",,0,0,0,taas,0,https://icowatchlist.com/ico/taas,0,TaaS is a tokenized closedend fund specifically for blockchainbased assets,2017-04-27 12:00:00,https://icowatchlist.com/logos/taas.png,0.78,2017-03-27 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/taas
,BPL,Unknown,,No,,,$0.2200,https://blockpool.io/,Blockchain,,$0.01,,United States,,,0,0,0,blockpool,0,https://icowatchlist.com/ico/blockpool,0,BlockPool is a B2B blockchain solution for many industries Fintech Media  more ,2017-05-01 00:00:00,https://icowatchlist.com/logos/blockpool.png,0.01,2017-05-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/blockpool
,TKN,Switzerland,,No,,,$0.5400,http://tokencard.io/,Ethereum,,$0.56,2.78%,United States,"$12,700,000",,0,0,0,tokencard,0,https://icowatchlist.com/ico/tokencard,0,Token Market has been setup as the platform for the future financial era,2017-05-02 20:00:00,https://icowatchlist.com/logos/tokencard.png,0.59,2017-05-02 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/tokencard
,ECOB,Unknown,,No,,,$0.0100,http://www.ecobit.io/,Not Available,,$0.00,-73.21%,United States,"$4,500,000",,0,0,0,ecobit,0,https://icowatchlist.com/ico/ecobit,0,EcoBit is taking charge in the fight to make the planet a safe and healthier place for us all to live in,2017-05-09 00:00:00,https://icowatchlist.com/logos/ecobit.png,0.00,2017-05-09 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ecobit
,BOS,Unknown,,No,https://github.com/owlchain/owlchain-core,,$0.0434,https://www.boscoin.io/,Not Available,,$0.02,-61.57%,United States,"$12,200,000",,8,357,17,boscoin,71,https://icowatchlist.com/ico/boscoin,30,BOScoin is a selfevolving cryptocurrency platform,2017-05-10 12:00:00,https://icowatchlist.com/logos/boscoin.png,0.01,2017-05-10 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/boscoin
,BCAP,United States,,No,,,$1.0000,http://blockchain.capital/,Not Available,,$0.89,-11.15%,United States,"$10,000,000",,0,0,0,blockchaincapital,0,https://icowatchlist.com/ico/blockchaincapital,0,Blockchain Capital is a venture capital firm investing in blockchain enterprises,2017-05-10 12:00:00,https://icowatchlist.com/logos/blockchaincapital.png,1.39,2017-04-10 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/blockchaincapital
,ZRC,Unknown,,No,,,$1.4000,https://zrcoin.io/,Waves,,$1.92,37.14%,United States,"$7,070,000",,0,0,0,zrcoin,0,https://icowatchlist.com/ico/zrcoin,0,ZrCoin is a blockchain project for investing in the production of an indemand industrial material,2017-05-11 00:00:00,https://icowatchlist.com/logos/zrcoin.png,2.11,2017-05-11 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/zrcoin
,AE,Liechtenstein,,No,,,$0.1950,https://www.aeternity.com/,Blockchain,,$0.48,145.27%,United States,"$24,990,000",,0,0,0,aeternity,0,https://icowatchlist.com/ico/aeternity,0,Aeternity is a new smart contract blockchain that interfaces with IoT FinTech  more,2017-05-12 13:05:00,https://icowatchlist.com/logos/aeternity.png,0.45,2017-05-12 13:05:00,UTC+0,https://api.icowatchlist.com/public/v1/url/aeternity
,ETB,United Kingdom,,No,,,$0.8800,https://ico.ethbits.com/,Ethereum,,$0.00,-99.99%,United States,"$1,200,000",,0,0,0,ethbits,0,https://icowatchlist.com/ico/ethbits,0,It is an easytouse secure cryptocurrency with an organization that has a futureoriented mindset,2017-05-13 12:00:00,https://icowatchlist.com/logos/ethbits.png,0.00,2017-04-15 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ethbits
,PPY,Unknown,,No,,,$4.6000,http://www.peerplays.com,Bitcoin Fork,,$0.73,-84.06%,United States,"$4,500,000",,0,0,0,peerplays,0,https://icowatchlist.com/ico/peerplays,0,Peerplays is a provably fair blockchainbased gaming platform,2017-05-14 12:00:00,https://icowatchlist.com/logos/peerplays.png,0.78,2017-02-26 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/peerplays
,ANT,Spain,,No,https://github.com/aragon,,$0.9090,https://aragon.one/,Ethereum,,$0.51,-43.54%,United States,"$25,000,000",,400,16411,23381,aragon,2449,https://icowatchlist.com/ico/aragon,691,The Aragon platform lets a whole organization operate with the infrastracture of the blockchain technology,2017-05-17 19:00:00,https://icowatchlist.com/logos/aragon.png,0.69,2017-05-17 16:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/aragon
,MCO,Unknown,,No,,,$2.6400,https://mona.co/,Ethereum,,$3.49,,United States,,,0,0,0,monaco,0,https://icowatchlist.com/ico/monaco,0,Monaco is creating a cryptocurrency card with extra affordable exchange rates ,2017-05-18 09:30:00,https://icowatchlist.com/logos/monaco.png,4.55,2017-05-18 09:30:00,UTC+0,https://api.icowatchlist.com/public/v1/url/monaco
,SJCX,United States,,No,,,$0.2920,https://storj.io,Ethereum,,$0.20,-31.03%,United States,"$30,000,000",,0,0,0,storj,0,https://icowatchlist.com/ico/storj,0,Storj is a platform allows users to store data in a secure and decentralized manner,2017-05-19 00:00:00,https://icowatchlist.com/logos/storj.png,0.25,2017-05-19 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/storj
,CVCOIN,Russian Federation,,No,,,$0.3862,https://ico.crypviser.net/,Bitcoin Fork,,$0.20,-47.90%,United States,"$3,870,000",,0,0,0,crypviser,0,https://icowatchlist.com/ico/crypviser,0,Crypviser is an encrypted network for business and social on the Blockchain technology,2017-05-20 00:00:00,https://icowatchlist.com/logos/crypviser.png,0.22,2017-05-20 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/crypviser
