,Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url,description,end_time,image,price_usd,start_time,timezone,website_link
442,,MDX,Estonia,,No,,$1.0000,Ethereum,,,,United States,,,midex,https://icowatchlist.com/ico/midex,Midex makes cryptocurrency use accessible to business traders and everyday users Midex is a financial ecosystem which encompasses the needs of each economic agent through a fully licensed and encrypted exchange,2018-04-15 23:59:59,https://icowatchlist.com/logos/midex.png,NA,2018-01-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/midex
443,"BTC, ETH",NODE,Latvia,,No,Yes,$1.0000,Ethereum,,,,United States,,"10,000,000",node,https://icowatchlist.com/ico/node,Intelligent Technology for Wireless Energy For Private and Commercial Use,2018-04-16 00:00:00,https://icowatchlist.com/logos/node.png,NA,2018-02-15 00:00:00,UTC+2,https://api.icowatchlist.com/public/v1/url/node
444,,,,,,,,,,,,,,,bitether,https://icowatchlist.com/ico/bitether,Dapp for gaming tournament and lending platform,2018-04-16 00:00:00,https://icowatchlist.com/logos/bitether.png,NA,2018-03-16 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bitether
445,,,,,,,,,,,,,,,blockpix,https://icowatchlist.com/ico/blockpix,Ecommerce Solution for the Creative and Entertainment Industry,2018-04-18 12:00:00,https://icowatchlist.com/logos/blockpix.png,NA,2018-03-18 12:00:00,UTC+2,https://api.icowatchlist.com/public/v1/url/blockpix
446,"BTC, ETH, LTC, DASH",HMT,United Kingdom,,No,Yes,$2.0000,Ethereum,,,,United States,,"10,000,000",hamster-marketplace,https://icowatchlist.com/ico/hamster-marketplace,Decentralized trading platform for sale of innovative indiegadgets run by manufacturers,2018-04-19 00:00:00,https://icowatchlist.com/logos/hamster-marketplace.png,NA,2018-02-19 00:00:00,UTC+3,https://api.icowatchlist.com/public/v1/url/hamster-marketplace
447,"BTC, ETH",MTP,Japan,,No,Yes,$0.1000,Other,,,,United States,,"500,000,000",moneytap-token,https://icowatchlist.com/ico/moneytap-token,App that allows bank customers to settle transactions instantly,2018-04-19 08:30:00,https://icowatchlist.com/logos/moneytap-token.png,NA,2018-03-23 08:30:00,UTC+0,https://api.icowatchlist.com/public/v1/url/moneytap-token
448,"BTC, ETH",GIFT,United Kingdom,,Yes,,$0.0900,Ethereum,January 1st 2018 To March 19th 2018,,,United States,"$12,870,000","1,000,000,000",giftcoin,https://icowatchlist.com/ico/giftcoin,Giftcoin is a groundbreaking new system designed to revolutionise charitable giving,2018-04-19 10:00:00,https://icowatchlist.com/logos/giftcoin.png,NA,2018-03-20 09:30:00,UTC--5,https://api.icowatchlist.com/public/v1/url/giftcoin
449,,BNE,Virgin Islands (British),,No,,$0.2000,Not Available,,,,United States,,,benebit,https://icowatchlist.com/ico/benebit,Benebit is a global decentralized ecosystem that enables interaction without borders between brands companies and consumers and is built on Blockchain technology,2018-04-19 13:00:00,https://icowatchlist.com/logos/benebit.png,NA,2018-01-22 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/benebit
450,ETH,XYO,United States,,No,Yes,$0.0060,Ethereum,,,,United States,,"48,000,000",xyo-network,https://icowatchlist.com/ico/xyo-network,With over 1 million locationverifying beacons already in the world XYO is blockchain39s first cryptolocation oracle network,2018-04-20 00:00:00,https://icowatchlist.com/logos/xyo-network.png,NA,2018-03-20 00:00:00,UTC--8,https://api.icowatchlist.com/public/v1/url/xyo-network
451,"BTC, ETH, LTC, USD, EUR, BCH",PON,United States,,Yes,Yes,$0.2000,Ethereum,,,,United States,,"480,000,000",ponder,https://icowatchlist.com/ico/ponder,A decentralized matchmaking platform revolutionizing how people meet,2018-04-20 06:00:00,https://icowatchlist.com/logos/ponder.png,NA,2018-02-14 14:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ponder
452,"BTC, ETH, LTC, USD, EUR",,Singapore,,No,Yes,$0.0000,Ethereum,,,,United States,,,bitcar,https://icowatchlist.com/ico/bitcar,PeertoPeer exotic car trading platform using Blockchain Technology for precision speed and lowered transaction cost,2018-04-20 07:00:00,https://icowatchlist.com/logos/bitcar.png,NA,2018-01-31 07:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bitcar
453,,REXX,Belarus,,No,,$0.0065,Ethereum,,,,United States,,,rexpax,https://icowatchlist.com/ico/rexpax,Rexpax encourages lending and sharing among neighbors,2018-04-20 09:00:00,https://icowatchlist.com/logos/rexpax.png,NA,2018-03-20 09:00:00,UTC--4,https://api.icowatchlist.com/public/v1/url/rexpax
454,"BTC, ETH",DHT,United Kingdom,,No,Yes,$0.0165,Ethereum,,,,United States,,"10,000,000,000",dehedge,https://icowatchlist.com/ico/dehedge,RiskHedging Platform for cryptocurrency investors DeHedge helps the investor guard against market volatility,2018-04-20 11:00:00,https://icowatchlist.com/logos/dehedge.png,NA,2018-03-15 11:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/dehedge
455,,KRL,France,,No,,$0.2000,Ethereum,,,,United States,,"72,000,000",kryllio,https://icowatchlist.com/ico/kryllio,Bringing professional trading tools to everyone,2018-04-20 12:00:00,https://icowatchlist.com/logos/kryllio.png,NA,2018-02-07 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/kryllio
456,ETH,AUC,Virgin Islands (British),,No,Yes,$0.4500,Ethereum,,,,"United States, China, Singapore",,"80,000,000",auctus,https://icowatchlist.com/ico/auctus,Smart Contract Powered Retirement Plans AUCTUS Helps People Plan Ahead of Retirement,2018-04-20 14:00:00,https://icowatchlist.com/logos/auctus.png,NA,2018-04-10 14:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/auctus
457,ETH,XPST,United States,,No,Yes,$0.0900,Ethereum,,,,United States,,"500,000,000",pokersports,https://icowatchlist.com/ico/pokersports,Decentralized  community driven platform that integrates Blockchain iGaming eSports and Fantasy Sports,2018-04-21 12:00:00,https://icowatchlist.com/logos/pokersports.png,NA,2018-02-24 12:00:00,UTC--7,https://api.icowatchlist.com/public/v1/url/pokersports
458,"ETH, BTC, LTC, BCH",SMRT,United Kingdom,,No,,$0.2100,Ethereum,,,,United States,,"600,000,000",smrt,https://icowatchlist.com/ico/smrt,The Smart Startup Token project is Making Blockchain Accessible to Startups and Small Businesses,2018-04-21 14:00:00,https://icowatchlist.com/logos/smrt.png,NA,2018-03-24 14:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/smrt
459,ETH,LND,United Kingdom,,No,,$0.0200,Ethereum,April 7th 2018 To April 14th 2018,,,United States,,"1,000,000,000",lendingblock,https://icowatchlist.com/ico/lendingblock,Fully collateralised borrowing and lending of crypto assets,2018-04-22 15:00:00,https://icowatchlist.com/logos/lendingblock.png,NA,2018-04-15 15:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/lendingblock
460,"BTC, ETH, BCH, LTC",ALX,Cayman Islands,,No,,$0.0900,Ethereum,,,,United States,,"1,000,000,000",alax,https://icowatchlist.com/ico/alax,The Blockchain Appstore Designed for Gamers,2018-04-23 10:30:00,https://icowatchlist.com/logos/alax.png,NA,2018-04-17 10:30:00,UTC+0,https://api.icowatchlist.com/public/v1/url/alax
461,ETH,SET,Australia,,No,Yes,$0.2500,Ethereum,,,,United States,,"50,000,000",follex,https://icowatchlist.com/ico/follex,Global Cryptocurrency Exchange and interactive Social platform,2018-04-23 12:00:00,https://icowatchlist.com/logos/follex.png,NA,2018-03-23 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/follex
462,,OTC,Germany,,No,,$0.2400,Ethereum,,$0.03,,United States,,,otcrit,https://icowatchlist.com/ico/otcrit,Advanced Cryptocurrency Exchange and Informational Marketplace,2018-04-23 18:00:00,https://icowatchlist.com/logos/otcrit.png,0.05,2018-02-15 18:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/otcrit
463,,PAT,Switzerland,,No,,$0.0020,Ethereum,,,,United States,,,bitnation,https://icowatchlist.com/ico/bitnation,Pangea Arbitration Token PAT powers the Pangea Jurisdiction,2018-04-24 11:00:00,https://icowatchlist.com/logos/bitnation.png,NA,2018-03-25 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/bitnation
464,,,,,,,,,,,,,,,checqit,https://icowatchlist.com/ico/checqit,The Smartest Decentralized Peertopeer lending platform,2018-04-24 11:59:00,https://icowatchlist.com/logos/checqit.png,NA,2018-03-24 12:00:00,UTC--5,https://api.icowatchlist.com/public/v1/url/checqit
465,,GLU,Unknown,,No,,$0.0000,Stratis,,,,United States,,,glu,https://icowatchlist.com/ico/glu,Gluons platform establishes an interconnected network of vehicles and owners for diagnostics,2018-04-27 14:59:00,https://icowatchlist.com/logos/glu.png,NA,2018-03-27 00:00:00,UTC--7,https://api.icowatchlist.com/public/v1/url/glu
466,,DAPG,Russian Federation,,No,,"$1,200.0000",Other,January 28th 2018 To February 21st 2018,,,United States,,"1,000,000",dapcash,https://icowatchlist.com/ico/dapcash,First postquantum crypto currency with multiple blockchain,2018-04-28 00:00:00,https://icowatchlist.com/logos/dapcash.png,NA,2018-02-21 00:00:00,UTC+7,https://api.icowatchlist.com/public/v1/url/dapcash
467,,ASTOR,Argentina,,No,,$1.0000,Ethereum,,,,United States,,,astorgame,https://icowatchlist.com/ico/astorgame,eSport  Online Gaming platform  Decentralized games Sports Betting and Casino using blockchain smart contracts  Provably Fair,2018-04-29 00:00:00,https://icowatchlist.com/logos/astorgame.png,NA,2018-01-29 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/astorgame
468,,CJT,Gibraltar,,No,,$0.1500,Ethereum,,$0.00,-99.92%,United States,"$10,440,000",,connectjob,https://icowatchlist.com/ico/connectjob,ConnectJob ultimately connects jobs to people and people to jobs using the power of blockchain technology,2018-04-30 00:00:00,https://icowatchlist.com/logos/connectjob.png,0.00,2017-12-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/connectjob
469,"BTC, ETH, LTC",XLS,France,,No,Yes,$0.3500,Ethereum,,,,United States,,"5,000,000,000",galaxis,https://icowatchlist.com/ico/galaxis,A platform with optional private  smart contracts and feeless transactions,2018-04-30 00:00:00,https://icowatchlist.com/logos/galaxis.png,NA,2018-03-01 00:00:00,UTC--5,https://api.icowatchlist.com/public/v1/url/galaxis
470,ETH,CRL,Canada,,Yes,Yes,$0.1000,Ethereum,March 3rd 2018 To March 31st 2018,,,United States,,"1,000,000,000",corl,https://icowatchlist.com/ico/corl,Revenue sharing on the blockchain A regular stream of quarterly profit payments,2018-04-30 06:56:00,https://icowatchlist.com/logos/corl.png,NA,2018-04-01 06:56:00,UTC+0,https://api.icowatchlist.com/public/v1/url/corl
471,"BTC, ETH, LTC, DASH, BCH",FIC,Thailand,,No,Yes,$0.1000,Ethereum,February 6th 2018 To March 7th 2018,,,United States,,"1,520,000,000",florafic,https://icowatchlist.com/ico/florafic,Applied technology of AI and blockchain to work together via the smart FIC application,2018-04-30 11:59:00,https://icowatchlist.com/logos/florafic.png,NA,2018-03-08 12:00:00,UTC+7,https://api.icowatchlist.com/public/v1/url/florafic
